country_code,country_name,region,income_level,capital_city,longitude,latitude
99035,Residual/unallocated ODA: Central Asia and Southern Asia,Unknown,Unknown,,,
577,Africa not elsewhere specified,Unknown,Unknown,,,
927,LDC Africa,Unknown,Unknown,,,
932,SIDS Americas,Unknown,Unknown,,,
99098,Large Marine Ecosystem: Yellow Sea,Unknown,Unknown,,,
99102,Large Marine Ecosystem: Sea of Okhotsk,Unknown,Unknown,,,
99110,Large Marine Ecosystem: Faroe Plateau,Unknown,Unknown,,,
907,Other regions (ILO),Unknown,Unknown,,,
99045,WHO Europe,Unknown,Unknown,,,
99053,Large Marine Ecosystem: California Current,Unknown,Unknown,,,
99081,Large Marine Ecosystem: Somali Coastal Current,Unknown,Unknown,,,
99106,Large Marine Ecosystem: East Siberian Sea,Unknown,Unknown,,,
660,Anguilla,Unknown,Unknown,,,
850,United States Virgin Islands,Unknown,Unknown,,,
933,SIDS Asia,Unknown,Unknown,,,
99057,Large Marine Ecosystem: Northeast U.S. Continental Shelf,Unknown,Unknown,,,
99101,Large Marine Ecosystem: Oyashio Current,Unknown,Unknown,,,
29,Caribbean,Unknown,Unknown,,,
890,Yugoslavia [former],Unknown,Unknown,,,
924,LLDC Americas,Unknown,Unknown,,,
99066,Large Marine Ecosystem: East Brazil Shelf,Unknown,Unknown,,,
744,Svalbard and Jan Mayen Islands,Unknown,Unknown,,,
746,Northern Africa (exc. Sudan),Unknown,Unknown,,,
829,United Kingdom (Scotland),Unknown,Unknown,,,
527,Other non-OECD Oceania,Unknown,Unknown,,,
99099,Large Marine Ecosystem: Kuroshio Current,Unknown,Unknown,,,
184,Cook Islands,Unknown,Unknown,,,
581,United States Minor Outlying Islands,Unknown,Unknown,,,
30,Eastern Asia,Unknown,Unknown,,,
53,Australia and New Zealand,Unknown,Unknown,,,
99091,Large Marine Ecosystem: East Central Australian Shelf,Unknown,Unknown,,,
364,Iran (Islamic Republic of),Unknown,Unknown,,,
876,Wallis and Futuna Islands,Unknown,Unknown,,,
142,Asia,Unknown,Unknown,,,
99038,Residual/unallocated ODA: Oceania excl. Aus. and N. Zealand,Unknown,Unknown,,,
915,WTO Developing Member States,Unknown,Unknown,,,
828,United Kingdom (Northern Ireland),Unknown,Unknown,,,
928,LDC Americas,Unknown,Unknown,,,
99083,Large Marine Ecosystem: Red Sea,Unknown,Unknown,,,
344,"China, Hong Kong Special Administrative Region",Unknown,Unknown,,,
659,Saint Kitts and Nevis,Unknown,Unknown,,,
34,Southern Asia,Unknown,Unknown,,,
531,Curaçao,Unknown,Unknown,,,
99024,"FAO Major Fishing Area: Atlantic, Northeast",Unknown,Unknown,,,
99067,Large Marine Ecosystem: North Brazil Shelf,Unknown,Unknown,,,
384,Côte d'Ivoire,Unknown,Unknown,,,
706,Somalia,Unknown,Unknown,,,
9,Oceania,Unknown,Unknown,,,
487,Other non-OECD Asia,Unknown,Unknown,,,
99094,Large Marine Ecosystem: West Central Australian Shelf,Unknown,Unknown,,,
162,Christmas Island,Unknown,Unknown,,,
654,Saint Helena,Unknown,Unknown,,,
666,Saint Pierre and Miquelon,Unknown,Unknown,,,
663,Saint Martin (French Part),Unknown,Unknown,,,
198,Organisation for Economic Co-operation and Development (OECD) Member States,Unknown,Unknown,,,
593,Development Assistance Committee members (DAC),Unknown,Unknown,,,
747,Northern Africa and Western Asia,Unknown,Unknown,,,
923,LLDC Africa,Unknown,Unknown,,,
99056,Large Marine Ecosystem: Southeast U.S. Continental Shelf,Unknown,Unknown,,,
99103,Large Marine Ecosystem: West Bering Sea,Unknown,Unknown,,,
630,Puerto Rico,Unknown,Unknown,,,
905,Middle East (ILO),Unknown,Unknown,,,
99047,WHO Western Pacific,Unknown,Unknown,,,
925,LLDC Asia,Unknown,Unknown,,,
99082,Large Marine Ecosystem: Arabian Sea,Unknown,Unknown,,,
99086,Large Marine Ecosystem: South China Sea,Unknown,Unknown,,,
99088,Large Marine Ecosystem: Indonesian Sea,Unknown,Unknown,,,
914,Upper middle economies (WB),Unknown,Unknown,,,
99104,Large Marine Ecosystem: Northern Bering - Chukchi Seas,Unknown,Unknown,,,
99109,Large Marine Ecosystem: Iceland Shelf and Sea,Unknown,Unknown,,,
151,Eastern Europe,Unknown,Unknown,,,
155,Western Europe,Unknown,Unknown,,,
99114,Large Marine Ecosystem: Central Arctic,Unknown,Unknown,,,
408,Democratic People's Republic of Korea,Unknown,Unknown,,,
612,Pitcairn,Unknown,Unknown,,,
543,Oceania (exc. Australia and New Zealand),Unknown,Unknown,,,
917,International Centers (FAO),Unknown,Unknown,,,
99021,"FAO Major Fishing Area: Pacific, Western Central",Unknown,Unknown,,,
99077,Large Marine Ecosystem: Canary Current,Unknown,Unknown,,,
175,Mayotte,Unknown,Unknown,,,
419,Latin America and the Caribbean,Unknown,Unknown,,,
19,Americas,Unknown,Unknown,,,
35,South-Eastern Asia,Unknown,Unknown,,,
54,Melanesia,Unknown,Unknown,,,
919,Regional Centres (FAO),Unknown,Unknown,,,
99025,"FAO Major Fishing Area: Indian Ocean, Eastern",Unknown,Unknown,,,
937,World (total) by MDG regions,Unknown,Unknown,,,
99111,Large Marine Ecosystem: Antarctica,Unknown,Unknown,,,
10,Antarctica,Unknown,Unknown,,,
887,Yemen,Unknown,Unknown,,,
99039,Residual/unallocated ODA: Sub-Saharan Africa,Unknown,Unknown,,,
